"title","year","language","type","source_url","intended_use","status","saved_file"
"Policy mixes for sustainability transitions: An extended concept and framework for analysis","2016","English","journal article","https://www.researchgate.net/publication/303181918_Policy_mixes_for_sustainability_transitions_An_extended_concept_and_framework_for_analysis","经典 policy mix 框架文献，可用于论述政策组合由要素、过程与特征组成，并关注一致性、连贯性与可信度。","link_stub_saved","Policy mixes for sustainability transitions An extended concept and framework for analysis.txt"
"Evaluating policy mix strategies for the energy transition using an agent-based macroeconomic model","2024","English","journal article","https://www.sciencedirect.com/science/article/pii/S0301421524002969","与你的项目高度相近，可用于支持单一政策与组合政策比较，以及组合政策通常优于单一工具的论点。","link_stub_saved","Evaluating policy mix strategies for the energy transition using an agent-based macroeconomic model.txt"
"A framework for policy mix analysis: assessing energy poverty policies","2023","English","journal article","https://www.tandfonline.com/doi/full/10.1080/21606544.2022.2153744","适合用于能源社会政策与公平性分析，尤其是低收入群体保护、能源贫困与 policy mix 落地。","link_stub_saved","A framework for policy mix analysis assessing energy poverty policies.txt"
"Rethinking residential energy policy: A review of priorities and directions for effective and equitable demand-side management","2025","English","journal article","https://www.sciencedirect.com/science/article/pii/S0306261925019932","居民侧 DSM 新综述，可用于需求响应、价格机制、行为动态、社会因素与公平性综述。","link_stub_saved","Rethinking residential energy policy A review of priorities and directions for effective and equitable demand-side management.txt"
"The need for comprehensive and well targeted instrument mixes to improve energy efficiency","2017","English","journal article","https://www.sciencedirect.com/science/article/abs/pii/S0301421517302527","用于说明为何单个政策工具不够，以及价格、补贴、信息等工具为何需要组合。","link_stub_saved","The need for comprehensive and well targeted instrument mixes to improve energy efficiency.txt"
"Policy mixes for sustainability transitions: New approaches and insights through bridging innovation and policy studies","2019","English","journal article record","https://www.econbiz.de/Record/policy-mixes-for-sustainability-transitions-new-approaches-and-insights-through-bridging-innovation-and-policy-studies-kern-florian/10012300431","适合文献综述前半部分，用于说明 policy mix 为何成为可持续转型研究的重要视角。","link_stub_saved","Policy mixes for sustainability transitions New approaches and insights through bridging innovation and policy studies.txt"
"Energy efficiency and the policy mix","2016","English","journal article","https://www.tandfonline.com/doi/full/10.1080/09613218.2016.1138803","聚焦建筑与住宅能效政策组合，可补充居民用电行为与建筑端视角。","link_stub_saved","Energy efficiency and the policy mix.txt"
"Designing a cost-effective policy mix for transition toward net-zero emissions: a case study of the mid-term plan by 2035 of Taiwan","2024","English","journal article","https://www.tandfonline.com/doi/full/10.1080/17583004.2024.2379545","较新的地区实证案例，可参考政策组合如何落到真实地区情境、成本讨论与公众接受度分析。","link_stub_saved","Designing a cost-effective policy mix for transition toward net-zero emissions a case study of the mid-term plan by 2035 of Taiwan.txt"
"中国能源政策解构及其组合演进研究","2025","Chinese","journal article","https://journal.bit.edu.cn/sk/article/doi/10.15918/j.jbitss1009-3370.2025.1008","适合中文综述部分，用于说明中国能源政策组合演进与政策工具类型。","html_saved","中国能源政策解构及其组合演进研究.html"
"“双碳”政策的知识图谱、研究热点与理论框架","2023","Chinese","journal article","https://journal.bit.edu.cn/sk/cn/article/Y2023/I4/94","适合作为中文文献综述入口，可用于梳理双碳政策的政策机制、政策类型与政策路径。","html_saved","“双碳”政策的知识图谱、研究热点与理论框架.html"
"Can a Policy Mix Achieve a Collaborative Effect? Exploring the Nested Implementation Process of Urban Carbon Emission Reduction Policies","2024","English (China-related)","journal article","https://www.mdpi.com/2071-1050/16/15/6529","虽然为英文发表，但研究中国城市减排试点政策协同效应，适合放入中国相关研究。","link_stub_saved","Can a Policy Mix Achieve a Collaborative Effect Exploring the Nested Implementation Process of Urban Carbon Emission Reduction Policies.txt"
"北京大学刘宇团队关于中国减排政策协同与权衡的研究介绍","2024","Chinese","news / research summary","https://ues.pku.edu.cn/xyxw/20118686a9e9425b8122ce8bfd58922e.htm","新闻介绍页，可用于提炼一个重要结论：比起单独加大单个政策强度，更重要的是优化政策组合协同与次序。","html_saved","北京大学刘宇团队关于中国减排政策协同与权衡的研究介绍.html"
"中国低碳城市建设的创新驱动效应评估：兼论多重嵌套试点示范机制的完善","2020","Chinese","journal article","https://www.kjjb.org/fileup/1001-7348/HTML/2020-37-22-004.htm","适合补充中国治理体系中多重试点与嵌套政策如何形成协同效应的实证背景。","html_saved","中国低碳城市建设的创新驱动效应评估：兼论多重嵌套试点示范机制的完善.html"
"Fostering sustainable transition: policy mix and governance evolution of China's green building sector based on large-scale text analysis (2004-2024)","2025","English (China-related)","journal article","https://www.frontiersin.org/journals/sustainability/articles/10.3389/frsus.2025.1718615/full","如后续延展到居民住宅、建筑能效与住宅低碳用能，这篇很值得读，可支撑中国绿色建筑领域的政策组合与治理演进分析。","pdf_saved","Fostering sustainable transition policy mix and governance evolution of China's green building sector based on large-scale text analysis (2004-2024).pdf"
