"id","title","authors_or_owner","year","language","material_type","constructs_or_modules","source_url","doi","license_or_access","status","saved_file","recommended_use","limitations","verified_on"
"QDL001","Empirical Study on Households' Energy-Conservation Behavior of Jiangsu Province in China: The Role of Policies and Behavior Results","Yue et al.","2019","English","open-access journal article / questionnaire prototype","HAB; QTB; EIB; IFB; policy context; behavior results","https://pmc.ncbi.nlm.nih.gov/articles/PMC6466063/","10.3390/ijerph16060939","Open-access article; verify publisher terms for reuse","official_html_saved","files/china_household_studies/Yue_et_al_2019_Jiangsu_household_energy_conservation.html","Direct Chinese-household prototype for the four behavior domains and their examples","Does not provide a standalone complete questionnaire appendix","2026-07-20"
"QDL002","GEB-50 General Ecological Behavior Scale - English questionnaire","Florian G. Kaiser / ZPID","2020","English","open test questionnaire","energy saving; consumption; social engagement; ecological behavior","https://www.psycharchives.org/en/item/32ee9f34-0961-4f71-8b89-2ba9fe7c6fda","10.23668/psycharchives.4489","CC BY-SA 4.0; observe archive conditions","full_file_saved","files/behavior_scales/Kaiser_2020_GEB-50_English_questionnaire.pdf","Open item pool for HAB and selected EIB/IFB-related behaviors","Broad ecological scale; European context; preserve or explicitly change its measurement logic","2026-07-20"
"QDL003","Psychological and Demographic Factors Affecting Household Energy-Saving Intentions: A TPB-Based Study in Northwest China","Liu et al.","2020","English table; items reportedly designed in Chinese","open-access journal article with item table; no standalone questionnaire","attitude; subjective norm; perceived behavioral control; behavioral intention","https://www.mdpi.com/2071-1050/12/3/836","10.3390/su12030836","Open-access article; check article licence for verbatim reuse","full_file_saved","files/china_household_studies/Liu_et_al_2020_TPB_Northwest_China.pdf","Table 2 provides 16 English item wordings, construct assignments, reverse-item marks and codes; useful as a Chinese-context TPB measurement reference","No independent questionnaire or supplementary questionnaire was found; the Chinese wording shown to respondents is not published; it measures TPB constructs and intention rather than the four actual behavior domains","2026-07-20"
"QDL004","How Green is Household Behaviour? Sustainable Choices in a Time of Interlocking Crises","OECD","2023","English","official cross-national survey report and questionnaire","household energy behavior; investment; barriers; policy exposure; environmental attitudes","https://www.oecd.org/en/publications/how-green-is-household-behaviour_2bbbb663-en.html","10.1787/2bbbb663-en","Official OECD publication; follow OECD reuse terms","full_file_saved","files/official_surveys/OECD_2023_EPIC_How_Green_Is_Household_Behaviour.pdf","Official prototype for energy behavior, investment, constraints, policy and cross-domain questions","Long multi-domain survey; select energy-relevant items only","2026-07-20"
"QDL005","Harmonized Survey Questions for Monitoring Household Energy Use and SDG Indicators 7.1.1 and 7.1.2 - Concise Roster","World Health Organization / World Bank","2019","English","official survey questionnaire","cooking; heating; lighting; fuels; technologies; electricity access and use","https://www.who.int/tools/core-questions-for-household-energy-use","","Official WHO instrument; follow WHO reuse terms","full_file_saved","files/official_surveys/WHO_2019_household_energy_questions_concise_roster.pdf","Objective household energy systems and fuel-stacking module","More relevant to energy access and clean fuels than urban electricity policy attitudes","2026-07-20"
"QDL006","2020 Residential Energy Consumption Survey: Microdata and Survey Forms","U.S. Energy Information Administration","2020","English","official survey forms and documentation webpage","housing; appliances; heating; cooling; thermostat; water heating; lighting; bills; EV charging","https://www.eia.gov/consumption/residential/data/2020/index.php?view=microdata","","U.S. government official source","official_html_saved","files/official_surveys/EIA_2020_RECS_microdata_and_survey_forms.html","Objective household, equipment, bill and energy-use question wording","U.S.-specific technologies and categories require Chinese adaptation","2026-07-20"
"QDL007","How much energy could be saved by making small changes to everyday household behaviours?","Palmer, Terry and Pope / UK DECC","2012","English","official technical behavior list","45 habitual; comfort-related; technical-upgrade household energy behaviors","https://www.gov.uk/government/publications/how-much-energy-could-be-saved-by-making-small-changes-to-everyday-household-behaviours","","UK Open Government Licence applies except where stated","full_file_saved","files/technical_behavior_lists/UK_DECC_2012_45_household_energy_behaviours.pdf","Concrete HAB/QTB/EIB candidate behavior pool with estimated energy impacts","Not a psychometric scale; UK heating context is prominent","2026-07-20"
"QDL008","Measuring household energy efficiency behaviors with attention to behavioral plasticity in the United States","Boudet et al.","2016","English","peer-reviewed measurement instrument article","current behavior; intention; inability to perform; behavioral plasticity","https://www.sciencedirect.com/science/article/pii/S2214629615300207","10.1016/j.erss.2015.07.014","Publisher access; no local full text saved","link_only","link_records/link_only_sources.md","Design model for separating actual behavior, intention, inability and non-applicability","Full instrument and reuse conditions must be checked before verbatim adoption","2026-07-20"
"QDL009","Measuring Energy-Efficient Behavior in Households: The Development of a Standardized Scale","Stragier et al.","2012","English","peer-reviewed scale-development article","actual behavior; efficient use; residential context; EEBS","https://journals.sagepub.com/doi/abs/10.1089/eco.2012.0026","10.1089/eco.2012.0026","Publisher access; no local full text saved","link_only","link_records/link_only_sources.md","Scale structure and PCA/CFA validation precedent for household energy behavior","Complete reusable item set not confirmed as openly licensed","2026-07-20"
"QDL010","The household energy gap: examining the divide between habitual- and purchase-related conservation behaviours","Barr, Gilg and Ford","2005","English","peer-reviewed journal article","habitual/curtailment behavior; purchase/efficiency behavior","https://www.sciencedirect.com/science/article/abs/pii/S0301421503003859","10.1016/j.enpol.2003.12.016","Publisher access; no local full text saved","link_only","link_records/link_only_sources.md","Classic conceptual and empirical basis for separating HAB and EIB","Does not establish the complete Yue four-domain instrument","2026-07-20"
"QDL011","Research of Effect of Energy-Conservation Results: Evidence from Urban Household Survey","Yue et al.","2016","English","peer-reviewed conference article","HAB; QTB; EIB; IFB; perceived results","https://doi.org/10.1016/j.egypro.2016.12.050","10.1016/j.egypro.2016.12.050","Publisher article; no duplicate local copy saved","link_only","link_records/link_only_sources.md","Earlier source documenting the four-domain framework","Short paper and no complete standalone questionnaire","2026-07-20"
